dateandtime,vehid,coord,gpscoord,spd,edge,lane,displacement,turnAngle,nextTLS,tflight,tl_state,tl_phase_duration,tl_lanes_controlled,tl_program,tl_next_switch
2025-04-03 23:54:00,veh0,"[8278.699297846384, 5332.583337054286]","[103.70959631457254, 1.336941265383668]",27.24,706845933,706845933_3,20.54,193.52,"(('joinedS_13', 18, 15.184317166944968, 'G'), ('cluster_1599226662_1599226663_237566456_237567290_5220729621_5220729622_5220729623_5220729624_5220729625_5220729626_5220729627_5220729628', 4, 425.62431716694493, 'r'), ('cluster_237566302_237568006_4749270945_4749270946_4749361887_4749361891_4749361892_4749361893_4749361895_6130411472_7756055890_7756055891_8390206210_8390206211', 10, 676.564317166945, 'G'), ('5220729634', 0, 1021.814317166945, 'G'), ('joinedS_8', 22, 1205.8043171669449, 'G'), ('joinedS_8', 16, 1221.1443171669448, 'G'), ('joinedS_2', 22, 1857.0543171669449, 'G'), ('cluster_1599284184_237568212_4736420883_5179030747_5179030749_5179030750_5179030752_5179030754_5220597509_5220597510_5220601830_6819927991_6819927999_6819928000_6819928001_8428043766', 19, 2833.534317166945, 'G'), ('joinedS_10', 24, 3713.234317166945, 'G'), ('joinedS_10', 7, 3723.964317166945, 'G'), ('joinedS_10', 14, 3730.414317166945, 'g'), ('cluster_3170740566_5014446299_8349291438_8349291439', 4, 3928.1843171669448, 'G'), ('cluster_244131869_5014446280_8424300911_8424300912_8424300914_8424300916_8424303617', 6, 4091.064317166945, 'g'))",joinedS_13,ggGGGGrrrrrrrGGGGGGGGrrrrrggGGGG,20.0,"('537088469_0', '537088469_0', '481621498#1_0', '481621498#1_1', '481621498#1_2', '481621498#1_3', '74939747_0', '74939747_1', '230004392#10_0', '230004392#10_0', '230004392#10_0', '230004392#10_0', '230004392#10_0', '706845933_0', '706845933_0', '706845933_0', '706845933_1', '706845933_2', '706845933_3', '706845933_3', '706845933_4', '-230004392#14_0', '-230004392#14_0', '-230004392#14_0', '-230004392#14_0', '-230004392#14_0', '-537088469_0', '-537088469_0', '710423345_0', '710423345_1', '710423345_2', '710423345_3')","(Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=20.0, state='ggGGGGrrrrrrrGGGGGGGGrrrrrggGGGG', minDur=8.0, maxDur=50.0, next='(1,)'), Phase(duration=5.0, state='ggyyyyrrrrrrryyyyyyyyrrrrrggyyyy', minDur=5.0, maxDur=5.0, next='(2,)'), Phase(duration=6.0, state='GGrrrrrrrrrrrrrrrrrrrrrrrrGGrrrr', minDur=8.0, maxDur=50.0, next='(3,)'), Phase(duration=5.0, state='yyrrrrrrrrrrrrrrrrrrrrrrrryyrrrr', minDur=5.0, maxDur=5.0, next='(4,)'), Phase(duration=22.0, state='GGrrrrGGrrrrrrrrrrrrrGGggGrrrrrr', minDur=5.0, maxDur=50.0, next='(5,)'), Phase(duration=5.0, state='yyrrrryyrrrrrrrrrrrrryyyyyrrrrrr', minDur=5.0, maxDur=5.0, next='(6,)'), Phase(duration=22.0, state='GGrrrrrrGGGGgGrrrrrrrrrrrrrrrrrr', minDur=5.0, maxDur=50.0, next='(7,)'), Phase(duration=5.0, state='yyrrrrrryyyyyyrrrrrrrrrrrrrrrrrr', minDur=5.0, maxDur=5.0, next='(0,)')), subParameter={}),)",8.0
2025-04-03 23:54:00,veh1,"[3500.338765537576, 4269.5180454659385]","[103.66665928511753, 1.3273029613619314]",21.82,32877553-AddedOnRampEdge,32877553-AddedOnRampEdge_1,12.42,46.94,"(('cluster_4930303717_568238350', 1, 7686.500655374426, 'r'),)",,,,,,
2025-04-03 23:54:00,veh2,"[12446.253953238285, 3640.5005906042275]","[103.74705763236388, 1.321655753718241]",54.0,646226504,646226504_0,45.0,282.37,"(('cluster_246580179_246580195_4323498694_4726320174_4726320175_4726320176_8424183219_8424183220_8424183225_8424183226', 2, 258.86, 'r'), ('cluster_1346032501_246580193_2486135861_2486135862_4602603068_4602603070_7190793387_885881084_885881087', 0, 468.51000000000005, 'G'), ('cluster_1307507128_2327164290_5231665168_5231665169_5231665171_566642091', 7, 3524.0000000000005, 'r'), ('cluster_1307507108_1307507130_4749207531_5231665170_5231665172_5231665173_5231665174_5231665179_566641913', 0, 3612.4100000000003, 'G'), ('cluster_2327164297_246132108_5014446350_5014446510_8407867208_8407867209_8410544384_8410544385_8410544387_8410544388_8410544390_8410544391', 15, 4007.9, 'G'))",,,,,,
2025-04-03 23:54:00,veh0,"[8276.36614113947, 5322.87855026111]","[103.70957539260277, 1.3368534749394478]",35.93,706845933,706845933_3,30.52,193.52,"(('joinedS_13', 18, 5.20279604043346, 'G'), ('cluster_1599226662_1599226663_237566456_237567290_5220729621_5220729622_5220729623_5220729624_5220729625_5220729626_5220729627_5220729628', 4, 415.6427960404335, 'r'), ('cluster_237566302_237568006_4749270945_4749270946_4749361887_4749361891_4749361892_4749361893_4749361895_6130411472_7756055890_7756055891_8390206210_8390206211', 10, 666.5827960404335, 'G'), ('5220729634', 0, 1011.8327960404335, 'G'), ('joinedS_8', 22, 1195.8227960404336, 'G'), ('joinedS_8', 16, 1211.1627960404335, 'G'), ('joinedS_2', 22, 1847.0727960404336, 'G'), ('cluster_1599284184_237568212_4736420883_5179030747_5179030749_5179030750_5179030752_5179030754_5220597509_5220597510_5220601830_6819927991_6819927999_6819928000_6819928001_8428043766', 19, 2823.552796040434, 'G'), ('joinedS_10', 24, 3703.2527960404336, 'G'), ('joinedS_10', 7, 3713.9827960404336, 'G'), ('joinedS_10', 14, 3720.4327960404335, 'g'), ('cluster_3170740566_5014446299_8349291438_8349291439', 4, 3918.2027960404334, 'y'), ('cluster_244131869_5014446280_8424300911_8424300912_8424300914_8424300916_8424303617', 6, 4081.0827960404335, 'y'))",joinedS_13,ggGGGGrrrrrrrGGGGGGGGrrrrrggGGGG,20.0,"('537088469_0', '537088469_0', '481621498#1_0', '481621498#1_1', '481621498#1_2', '481621498#1_3', '74939747_0', '74939747_1', '230004392#10_0', '230004392#10_0', '230004392#10_0', '230004392#10_0', '230004392#10_0', '706845933_0', '706845933_0', '706845933_0', '706845933_1', '706845933_2', '706845933_3', '706845933_3', '706845933_4', '-230004392#14_0', '-230004392#14_0', '-230004392#14_0', '-230004392#14_0', '-230004392#14_0', '-537088469_0', '-537088469_0', '710423345_0', '710423345_1', '710423345_2', '710423345_3')","(Logic(programID='0', type=3, currentPhaseIndex=0, phases=(Phase(duration=20.0, state='ggGGGGrrrrrrrGGGGGGGGrrrrrggGGGG', minDur=8.0, maxDur=50.0, next='(1,)'), Phase(duration=5.0, state='ggyyyyrrrrrrryyyyyyyyrrrrrggyyyy', minDur=5.0, maxDur=5.0, next='(2,)'), Phase(duration=6.0, state='GGrrrrrrrrrrrrrrrrrrrrrrrrGGrrrr', minDur=8.0, maxDur=50.0, next='(3,)'), Phase(duration=5.0, state='yyrrrrrrrrrrrrrrrrrrrrrrrryyrrrr', minDur=5.0, maxDur=5.0, next='(4,)'), Phase(duration=22.0, state='GGrrrrGGrrrrrrrrrrrrrGGggGrrrrrr', minDur=5.0, maxDur=50.0, next='(5,)'), Phase(duration=5.0, state='yyrrrryyrrrrrrrrrrrrryyyyyrrrrrr', minDur=5.0, maxDur=5.0, next='(6,)'), Phase(duration=22.0, state='GGrrrrrrGGGGgGrrrrrrrrrrrrrrrrrr', minDur=5.0, maxDur=50.0, next='(7,)'), Phase(duration=5.0, state='yyrrrrrryyyyyyrrrrrrrrrrrrrrrrrr', minDur=5.0, maxDur=5.0, next='(0,)')), subParameter={}),)",8.0
2025-04-03 23:54:00,veh1,"[3506.673431598555, 4275.4375756442805]","[103.66671618413713, 1.327356533212814]",31.14,32877553-AddedOnRampEdge,32877553-AddedOnRampEdge_1,21.07,46.94,"(('cluster_4930303717_568238350', 1, 7677.849846574065, 'r'),)",,,,,,
2025-04-03 23:54:00,veh2,"[12432.098002118115, 3643.604400316327]","[103.74693039933786, 1.3216837633510756]",54.0,646226504,646226504_0,60.0,282.37,"(('cluster_246580179_246580195_4323498694_4726320174_4726320175_4726320176_8424183219_8424183220_8424183225_8424183226', 2, 243.86, 'r'), ('cluster_1346032501_246580193_2486135861_2486135862_4602603068_4602603070_7190793387_885881084_885881087', 0, 453.51000000000005, 'G'), ('cluster_1307507128_2327164290_5231665168_5231665169_5231665171_566642091', 7, 3509.0000000000005, 'r'), ('cluster_1307507108_1307507130_4749207531_5231665170_5231665172_5231665173_5231665174_5231665179_566641913', 0, 3597.4100000000003, 'G'), ('cluster_2327164297_246132108_5014446350_5014446510_8407867208_8407867209_8410544384_8410544385_8410544387_8410544388_8410544390_8410544391', 15, 3992.9, 'G'))",,,,,,
2025-04-03 23:54:00,veh0,"[8274.432743297497, 5315.864999430345]","[103.7095580505075, 1.3367900285027137]",26.22,:cluster_246141084_4386856096_4386856099_4386856102_4386856105_4386856106_4386856108_4386856110_4386856117_6642371596_7384819988_8407243205_8407243206_12,:cluster_246141084_4386856096_4386856099_4386856102_4386856105_4386856106_4386856108_4386856110_4386856117_6642371596_7384819988_8407243205_8407243206_12_0,37.8,196.28,"(('cluster_1599226662_1599226663_237566456_237567290_5220729621_5220729622_5220729623_5220729624_5220729625_5220729626_5220729627_5220729628', 4, 408.35930036210175, 'r'), ('cluster_237566302_237568006_4749270945_4749270946_4749361887_4749361891_4749361892_4749361893_4749361895_6130411472_7756055890_7756055891_8390206210_8390206211', 10, 659.2993003621018, 'G'), ('5220729634', 0, 1004.5493003621018, 'G'), ('joinedS_8', 22, 1188.5393003621018, 'G'), ('joinedS_8', 16, 1203.8793003621017, 'G'), ('joinedS_2', 22, 1839.7893003621018, 'G'), ('cluster_1599284184_237568212_4736420883_5179030747_5179030749_5179030750_5179030752_5179030754_5220597509_5220597510_5220601830_6819927991_6819927999_6819928000_6819928001_8428043766', 19, 2816.269300362102, 'G'), ('joinedS_10', 24, 3695.969300362102, 'G'), ('joinedS_10', 7, 3706.699300362102, 'G'), ('joinedS_10', 14, 3713.1493003621017, 'g'), ('cluster_3170740566_5014446299_8349291438_8349291439', 4, 3910.9193003621017, 'y'), ('cluster_244131869_5014446280_8424300911_8424300912_8424300914_8424300916_8424303617', 6, 4073.799300362102, 'y'))",,,,,,
2025-04-03 23:54:00,veh1,"[3514.5118039296735, 4281.995252235779]","[103.66678659341535, 1.3274158843037718]",36.72,32877553-AddedOnRampEdge,32877553-AddedOnRampEdge_1,31.27,50.83,"(('cluster_4930303717_568238350', 1, 7667.649063549685, 'r'),)",,,,,,
2025-04-03 23:54:00,veh2,"[12417.866118168598, 3644.023810936431]","[103.74680249608272, 1.3216874920053598]",54.0,646226504,646226504_0,75.0,260.86,"(('cluster_246580179_246580195_4323498694_4726320174_4726320175_4726320176_8424183219_8424183220_8424183225_8424183226', 2, 228.85999999999999, 'r'), ('cluster_1346032501_246580193_2486135861_2486135862_4602603068_4602603070_7190793387_885881084_885881087', 0, 438.51000000000005, 'G'), ('cluster_1307507128_2327164290_5231665168_5231665169_5231665171_566642091', 7, 3494.0000000000005, 'r'), ('cluster_1307507108_1307507130_4749207531_5231665170_5231665172_5231665173_5231665174_5231665179_566641913', 0, 3582.4100000000003, 'G'), ('cluster_2327164297_246132108_5014446350_5014446510_8407867208_8407867209_8410544384_8410544385_8410544387_8410544388_8410544390_8410544391', 15, 3977.9, 'G'))",,,,,,
2025-04-03 23:54:00,veh0,"[8270.171777131553, 5311.252297238236]","[103.70951977949068, 1.336748286569016]",23.35,:cluster_246141084_4386856096_4386856099_4386856102_4386856105_4386856106_4386856108_4386856110_4386856117_6642371596_7384819988_8407243205_8407243206_12,:cluster_246141084_4386856096_4386856099_4386856102_4386856105_4386856106_4386856108_4386856110_4386856117_6642371596_7384819988_8407243205_8407243206_12_0,44.29,228.43,"(('cluster_1599226662_1599226663_237566456_237567290_5220729621_5220729622_5220729623_5220729624_5220729625_5220729626_5220729627_5220729628', 4, 401.8736015985445, 'r'), ('cluster_237566302_237568006_4749270945_4749270946_4749361887_4749361891_4749361892_4749361893_4749361895_6130411472_7756055890_7756055891_8390206210_8390206211', 10, 652.8136015985446, 'G'), ('5220729634', 0, 998.0636015985446, 'G'), ('joinedS_8', 22, 1182.0536015985444, 'G'), ('joinedS_8', 16, 1197.3936015985444, 'G'), ('joinedS_2', 22, 1833.3036015985444, 'G'), ('cluster_1599284184_237568212_4736420883_5179030747_5179030749_5179030750_5179030752_5179030754_5220597509_5220597510_5220601830_6819927991_6819927999_6819928000_6819928001_8428043766', 19, 2809.7836015985445, 'G'), ('joinedS_10', 24, 3689.4836015985443, 'G'), ('joinedS_10', 7, 3700.2136015985443, 'G'), ('joinedS_10', 14, 3706.663601598544, 'g'), ('cluster_3170740566_5014446299_8349291438_8349291439', 4, 3904.433601598544, 'y'), ('cluster_244131869_5014446280_8424300911_8424300912_8424300914_8424300916_8424303617', 6, 4067.313601598544, 'y'))",,,,,,
